datum_i_vreme_polaska,datum_i_vreme_dolaska,broj_leta,sifra,zauzetost
2024-03-22 06:30:00,2024-03-22 07:30:00,RS02,5336,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-24 06:30:00,2024-03-24 07:30:00,RS02,5337,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-25 06:30:00,2024-03-25 07:30:00,RS02,5338,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-29 06:30:00,2024-03-29 07:30:00,RS02,5339,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-10 09:00:00,2023-10-10 10:15:00,RS03,5340,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-11 09:00:00,2023-10-11 10:15:00,RS03,5341,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-16 09:00:00,2023-10-16 10:15:00,RS03,5342,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-17 09:00:00,2023-10-17 10:15:00,RS03,5343,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-18 09:00:00,2023-10-18 10:15:00,RS03,5344,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-23 09:00:00,2023-10-23 10:15:00,RS03,5345,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-24 09:00:00,2023-10-24 10:15:00,RS03,5346,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-25 09:00:00,2023-10-25 10:15:00,RS03,5347,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-30 09:00:00,2023-10-30 10:15:00,RS03,5348,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-31 09:00:00,2023-10-31 10:15:00,RS03,5349,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-01 09:00:00,2023-11-01 10:15:00,RS03,5350,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-06 09:00:00,2023-11-06 10:15:00,RS03,5351,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-07 09:00:00,2023-11-07 10:15:00,RS03,5352,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-08 09:00:00,2023-11-08 10:15:00,RS03,5353,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-13 09:00:00,2023-11-13 10:15:00,RS03,5354,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-14 09:00:00,2023-11-14 10:15:00,RS03,5355,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-15 09:00:00,2023-11-15 10:15:00,RS03,5356,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-20 09:00:00,2023-11-20 10:15:00,RS03,5357,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-21 09:00:00,2023-11-21 10:15:00,RS03,5358,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-22 09:00:00,2023-11-22 10:15:00,RS03,5359,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-27 09:00:00,2023-11-27 10:15:00,RS03,5360,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-28 09:00:00,2023-11-28 10:15:00,RS03,5361,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-29 09:00:00,2023-11-29 10:15:00,RS03,5362,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-04 09:00:00,2023-12-04 10:15:00,RS03,5363,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-05 09:00:00,2023-12-05 10:15:00,RS03,5364,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-06 09:00:00,2023-12-06 10:15:00,RS03,5365,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-11 09:00:00,2023-12-11 10:15:00,RS03,5366,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-12 09:00:00,2023-12-12 10:15:00,RS03,5367,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-13 09:00:00,2023-12-13 10:15:00,RS03,5368,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-18 09:00:00,2023-12-18 10:15:00,RS03,5369,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-19 09:00:00,2023-12-19 10:15:00,RS03,5370,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-20 09:00:00,2023-12-20 10:15:00,RS03,5371,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-25 09:00:00,2023-12-25 10:15:00,RS03,5372,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-26 09:00:00,2023-12-26 10:15:00,RS03,5373,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-27 09:00:00,2023-12-27 10:15:00,RS03,5374,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-01 09:00:00,2024-01-01 10:15:00,RS03,5375,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-02 09:00:00,2024-01-02 10:15:00,RS03,5376,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-03 09:00:00,2024-01-03 10:15:00,RS03,5377,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-08 09:00:00,2024-01-08 10:15:00,RS03,5378,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-09 09:00:00,2024-01-09 10:15:00,RS03,5379,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-10 09:00:00,2024-01-10 10:15:00,RS03,5380,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-15 09:00:00,2024-01-15 10:15:00,RS03,5381,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-16 09:00:00,2024-01-16 10:15:00,RS03,5382,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-17 09:00:00,2024-01-17 10:15:00,RS03,5383,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-22 09:00:00,2024-01-22 10:15:00,RS03,5384,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-23 09:00:00,2024-01-23 10:15:00,RS03,5385,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-24 09:00:00,2024-01-24 10:15:00,RS03,5386,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-29 09:00:00,2024-01-29 10:15:00,RS03,5387,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-30 09:00:00,2024-01-30 10:15:00,RS03,5388,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-31 09:00:00,2024-01-31 10:15:00,RS03,5389,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-05 09:00:00,2024-02-05 10:15:00,RS03,5390,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-06 09:00:00,2024-02-06 10:15:00,RS03,5391,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-07 09:00:00,2024-02-07 10:15:00,RS03,5392,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-12 09:00:00,2024-02-12 10:15:00,RS03,5393,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-13 09:00:00,2024-02-13 10:15:00,RS03,5394,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-14 09:00:00,2024-02-14 10:15:00,RS03,5395,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-19 09:00:00,2024-02-19 10:15:00,RS03,5396,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-20 09:00:00,2024-02-20 10:15:00,RS03,5397,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-21 09:00:00,2024-02-21 10:15:00,RS03,5398,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-26 09:00:00,2024-02-26 10:15:00,RS03,5399,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-27 09:00:00,2024-02-27 10:15:00,RS03,5400,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-28 09:00:00,2024-02-28 10:15:00,RS03,5401,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-13 12:00:00,2023-10-13 16:00:00,RS04,5402,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-15 12:00:00,2023-10-15 16:00:00,RS04,5403,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-16 12:00:00,2023-10-16 16:00:00,RS04,5404,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-20 12:00:00,2023-10-20 16:00:00,RS04,5405,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-22 12:00:00,2023-10-22 16:00:00,RS04,5406,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-23 12:00:00,2023-10-23 16:00:00,RS04,5407,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-27 12:00:00,2023-10-27 16:00:00,RS04,5408,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-29 12:00:00,2023-10-29 16:00:00,RS04,5409,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-30 12:00:00,2023-10-30 16:00:00,RS04,5410,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-03 12:00:00,2023-11-03 16:00:00,RS04,5411,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-05 12:00:00,2023-11-05 16:00:00,RS04,5412,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-06 12:00:00,2023-11-06 16:00:00,RS04,5413,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-10 12:00:00,2023-11-10 16:00:00,RS04,5414,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-12 12:00:00,2023-11-12 16:00:00,RS04,5415,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-13 12:00:00,2023-11-13 16:00:00,RS04,5416,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-17 12:00:00,2023-11-17 16:00:00,RS04,5417,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-19 12:00:00,2023-11-19 16:00:00,RS04,5418,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-20 12:00:00,2023-11-20 16:00:00,RS04,5419,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-24 12:00:00,2023-11-24 16:00:00,RS04,5420,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-26 12:00:00,2023-11-26 16:00:00,RS04,5421,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-11-27 12:00:00,2023-11-27 16:00:00,RS04,5422,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-01 12:00:00,2023-12-01 16:00:00,RS04,5423,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-03 12:00:00,2023-12-03 16:00:00,RS04,5424,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-04 12:00:00,2023-12-04 16:00:00,RS04,5425,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-08 12:00:00,2023-12-08 16:00:00,RS04,5426,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-10 12:00:00,2023-12-10 16:00:00,RS04,5427,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-11 12:00:00,2023-12-11 16:00:00,RS04,5428,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-15 12:00:00,2023-12-15 16:00:00,RS04,5429,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-17 12:00:00,2023-12-17 16:00:00,RS04,5430,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-18 12:00:00,2023-12-18 16:00:00,RS04,5431,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-22 12:00:00,2023-12-22 16:00:00,RS04,5432,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-24 12:00:00,2023-12-24 16:00:00,RS04,5433,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-25 12:00:00,2023-12-25 16:00:00,RS04,5434,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-29 12:00:00,2023-12-29 16:00:00,RS04,5435,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-12-31 12:00:00,2023-12-31 16:00:00,RS04,5436,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-01 12:00:00,2024-01-01 16:00:00,RS04,5437,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-05 12:00:00,2024-01-05 16:00:00,RS04,5438,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-07 12:00:00,2024-01-07 16:00:00,RS04,5439,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-08 12:00:00,2024-01-08 16:00:00,RS04,5440,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-12 12:00:00,2024-01-12 16:00:00,RS04,5441,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-14 12:00:00,2024-01-14 16:00:00,RS04,5442,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-15 12:00:00,2024-01-15 16:00:00,RS04,5443,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-19 12:00:00,2024-01-19 16:00:00,RS04,5444,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-21 12:00:00,2024-01-21 16:00:00,RS04,5445,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-22 12:00:00,2024-01-22 16:00:00,RS04,5446,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-26 12:00:00,2024-01-26 16:00:00,RS04,5447,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-28 12:00:00,2024-01-28 16:00:00,RS04,5448,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-01-29 12:00:00,2024-01-29 16:00:00,RS04,5449,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-02 12:00:00,2024-02-02 16:00:00,RS04,5450,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-04 12:00:00,2024-02-04 16:00:00,RS04,5451,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-05 12:00:00,2024-02-05 16:00:00,RS04,5452,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-09 12:00:00,2024-02-09 16:00:00,RS04,5453,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-11 12:00:00,2024-02-11 16:00:00,RS04,5454,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-12 12:00:00,2024-02-12 16:00:00,RS04,5455,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-16 12:00:00,2024-02-16 16:00:00,RS04,5456,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-18 12:00:00,2024-02-18 16:00:00,RS04,5457,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-19 12:00:00,2024-02-19 16:00:00,RS04,5458,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-23 12:00:00,2024-02-23 16:00:00,RS04,5459,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-25 12:00:00,2024-02-25 16:00:00,RS04,5460,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-02-26 12:00:00,2024-02-26 16:00:00,RS04,5461,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2024-03-01 12:00:00,2024-03-01 16:00:00,RS04,5462,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-10 19:00:00,2023-10-10 20:30:00,RS05,5463,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-11 19:00:00,2023-10-11 20:30:00,RS05,5464,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-16 19:00:00,2023-10-16 20:30:00,RS05,5465,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-17 19:00:00,2023-10-17 20:30:00,RS05,5466,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
2023-10-18 19:00:00,2023-10-18 20:30:00,RS05,5467,"[[False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False], [False, False, False, False, False]]"
